event_id,pass_number,operation,group_id_1,group_id_2,source_partition,destination_partition,objective_before,objective_after,accepted
53,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_ab4ae2581394,validation|train,train|validation,"[0,0,""6026/22715"",""731442897473/278125913460"",""394/2365"",""1e7352d29e17c1b90e3b88630298f5c4950407cef1ea502dee10cc9dc423f8ce""]","[0,0,""113514/431585"",""717121180193/278125913460"",""394/2365"",""dca2f7f906c8641384eb16ec8ff26e63f5af553950a11bed8844e1713ce40684""]",True
54,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_b9a5844724d3,train|validation,validation|train,"[0,0,""113514/431585"",""717121180193/278125913460"",""394/2365"",""dca2f7f906c8641384eb16ec8ff26e63f5af553950a11bed8844e1713ce40684""]","[0,0,""113424/431585"",""145307085793/55625182692"",""394/2365"",""954f16b825beb8123bf958aed585372002a702dac3f7e81eac624f32e55ea67f""]",True
55,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_b9e56aa641d7,validation|train,train|validation,"[0,0,""113424/431585"",""145307085793/55625182692"",""394/2365"",""954f16b825beb8123bf958aed585372002a702dac3f7e81eac624f32e55ea67f""]","[0,0,""16032/61655"",""142442742337/55625182692"",""394/2365"",""bc11d015cc51dadec6bfe06706eb9e82e0b03c50122a0c7a2debadab66823de1""]",True
56,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_bc0e3200354a,train|validation,validation|train,"[0,0,""16032/61655"",""142442742337/55625182692"",""394/2365"",""bc11d015cc51dadec6bfe06706eb9e82e0b03c50122a0c7a2debadab66823de1""]","[0,0,""112194/431585"",""146973486577/55625182692"",""394/2365"",""c078d77a5e65ae698f93a2f906e6ed4638c66477cf1dfc3a03098e44ac130d72""]",True
57,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_bd0b3ddd2063,validation|test,test|validation,"[0,0,""112194/431585"",""146973486577/55625182692"",""394/2365"",""c078d77a5e65ae698f93a2f906e6ed4638c66477cf1dfc3a03098e44ac130d72""]","[0,0,""112194/431585"",""146973486577/55625182692"",""394/2365"",""30f2dd7151b3a5bc2c72325af7b2bbcb65bd780659c2988236efda5b5a32279e""]",True
58,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_be0779f1a2d9,test|train,train|test,"[0,0,""112194/431585"",""146973486577/55625182692"",""394/2365"",""30f2dd7151b3a5bc2c72325af7b2bbcb65bd780659c2988236efda5b5a32279e""]","[0,0,""108924/431585"",""72422443709/27812591346"",""394/2365"",""655f78ec384f1a0363b4f62c8b0f2697e91f2200d6749eb5bb03b32462a0d941""]",True
59,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_bf0d6a06d1f8,train|validation,validation|train,"[0,0,""108924/431585"",""72422443709/27812591346"",""394/2365"",""655f78ec384f1a0363b4f62c8b0f2697e91f2200d6749eb5bb03b32462a0d941""]","[0,0,""108844/431585"",""74081612879/27812591346"",""394/2365"",""cb206e1b8d2c9c29859a81f2c0819c3df3c294639777f2717c3a331a86db854f""]",True
60,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_c098b07dc6c2,validation|test,test|validation,"[0,0,""108844/431585"",""74081612879/27812591346"",""394/2365"",""cb206e1b8d2c9c29859a81f2c0819c3df3c294639777f2717c3a331a86db854f""]","[0,0,""108844/431585"",""74081612879/27812591346"",""394/2365"",""5398ee0085391cea2e2a4526204914976ef5bfa93523e1ebb50b9d925c5d587e""]",True
61,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_c132aec841c7,test|train,train|test,"[0,0,""108844/431585"",""74081612879/27812591346"",""394/2365"",""5398ee0085391cea2e2a4526204914976ef5bfa93523e1ebb50b9d925c5d587e""]","[0,0,""108774/431585"",""74081612879/27812591346"",""394/2365"",""dd32ee2684133aadd06cdabf8a2aed375a374394ac425aec83c5861301cda58f""]",True
62,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_c434ec5b8794,train|test,test|train,"[0,0,""108774/431585"",""74081612879/27812591346"",""394/2365"",""dd32ee2684133aadd06cdabf8a2aed375a374394ac425aec83c5861301cda58f""]","[0,0,""1412/5605"",""74843601683/27812591346"",""394/2365"",""4c2cf1b19c98fbabb8ed96f76a13dc93d873f0a441cd9b165d9434ef30e71d3a""]",True
63,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_c4637945081c,test|train,train|test,"[0,0,""1412/5605"",""74843601683/27812591346"",""394/2365"",""4c2cf1b19c98fbabb8ed96f76a13dc93d873f0a441cd9b165d9434ef30e71d3a""]","[0,0,""105104/431585"",""147558604207/55625182692"",""394/2365"",""69c6e09b392f1f074a688185cbd7a00a63a3d6975ed0d6d41338f86fa2407042""]",True
64,1,PAIRWISE_GROUP_SWAP,HBG_008fb938cf34,HBG_c8ca54a9d725,train|validation,validation|train,"[0,0,""105104/431585"",""147558604207/55625182692"",""394/2365"",""69c6e09b392f1f074a688185cbd7a00a63a3d6975ed0d6d41338f86fa2407042""]","[0,0,""105104/431585"",""147558604207/55625182692"",""394/2365"",""3c4e76fa01bb16669a52d3c1c6812046ee6484e785ae12669454dac0df24c2f0""]",True
