panel,ablation,seed,value,summary_type,mean,notes,ablation_id,metric,validation_only
B,No compound-target context,,-0.0009200758632812667,mean paired validation delta,-0.0009200758632812667,Panel B summary; displayed as -0.0009. Validation-only; not part of sealed-test ranking. Compound-target context removed. Panel A: No compound-target; Panel B: No compound-target.,ABL02,mean paired delta macro AUPR,True
A,Merged evidence-stratified relations,FINAL_01,0.003714265450820653,seed-level paired validation delta,-0.0021418363389636543,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,paired delta macro AUPR,True
A,Merged evidence-stratified relations,FINAL_02,-0.00858732407665197,seed-level paired validation delta,-0.0021418363389636543,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,paired delta macro AUPR,True
A,Merged evidence-stratified relations,FINAL_03,-0.00413657767682829,seed-level paired validation delta,-0.0021418363389636543,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,paired delta macro AUPR,True
A,Merged evidence-stratified relations,FINAL_04,-0.0023020582894824893,seed-level paired validation delta,-0.0021418363389636543,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,paired delta macro AUPR,True
A,Merged evidence-stratified relations,FINAL_05,0.0006025128973238258,seed-level paired validation delta,-0.0021418363389636543,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,paired delta macro AUPR,True
B,Merged evidence-stratified relations,,-0.0021418363389636543,mean paired validation delta,-0.0021418363389636543,Panel B summary; displayed as -0.0021. Validation-only; not part of sealed-test ranking. Evidence-stratified compound-target relations merged. Panel A: Merged evidence; Panel B: Merged evidence.,ABL03,mean paired delta macro AUPR,True
A,No relation attention,FINAL_01,0.00027606841264249393,seed-level paired validation delta,-0.0037619732687724115,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,paired delta macro AUPR,True
A,No relation attention,FINAL_02,-0.008589367615428278,seed-level paired validation delta,-0.0037619732687724115,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,paired delta macro AUPR,True
A,No relation attention,FINAL_03,-0.0031186291854519155,seed-level paired validation delta,-0.0037619732687724115,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,paired delta macro AUPR,True
A,No relation attention,FINAL_04,-0.00017328641457659,seed-level paired validation delta,-0.0037619732687724115,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,paired delta macro AUPR,True
A,No relation attention,FINAL_05,-0.0072046515410477685,seed-level paired validation delta,-0.0037619732687724115,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,paired delta macro AUPR,True
B,No relation attention,,-0.0037619732687724115,mean paired validation delta,-0.0037619732687724115,Panel B summary; displayed as -0.0038. Validation-only; not part of sealed-test ranking. Relation-attention mechanism removed. Panel A: No relation attention; Panel B: No attention.,ABL04,mean paired delta macro AUPR,True
A,Homogeneous collapse,FINAL_01,-0.0008785539603419767,seed-level paired validation delta,-0.006737773227606536,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,paired delta macro AUPR,True
A,Homogeneous collapse,FINAL_02,-0.004998346072923265,seed-level paired validation delta,-0.006737773227606536,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,paired delta macro AUPR,True
A,Homogeneous collapse,FINAL_03,-0.005916322466591906,seed-level paired validation delta,-0.006737773227606536,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,paired delta macro AUPR,True
A,Homogeneous collapse,FINAL_04,-0.00030926283007792765,seed-level paired validation delta,-0.006737773227606536,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,paired delta macro AUPR,True
A,Homogeneous collapse,FINAL_05,-0.021586380808097605,seed-level paired validation delta,-0.006737773227606536,Validation-only; delta = ablation macro AUPR minus full TCMRGAT macro AUPR. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,paired delta macro AUPR,True
B,Homogeneous collapse,,-0.006737773227606536,mean paired validation delta,-0.006737773227606536,Panel B summary; displayed as -0.0067. Validation-only; not part of sealed-test ranking. Heterogeneous graph representation collapsed to a homogeneous setting. Panel A: Homogeneous collapse; Panel B: Homogeneous.,ABL05,mean paired delta macro AUPR,True
