split_blocking_group_id,total_group_member_count,benchmark_eligible_member_count,benchmark_positive_herb_count,benchmark_context_only_member_count,benchmark_ineligible_member_count,positive_pair_count,positive_degree_min,positive_degree_max,positive_degree_mean,compound_context_member_count,no_compound_context_member_count,D01_count,D02_count,D03_count,D04_count,D05_count,D06_count,D07_count,D08_count,contains_H0847,group_protocol_status,future_assignment_unit
HBG_06b6a964fba4,4,4,4,0,0,1528,382,382,382.0,4,0,0,0,0,0,0,0,4,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_06fcbce280af,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_07030dbe09ab,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_07989d057eb7,1,1,1,0,0,58,58,58,58.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_079e3e8041d7,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_07b0c21c7913,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_081e3e678ec4,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_08254f17ca2d,1,1,1,0,0,2,2,2,2.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0828edcebfd3,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_082a75b7cc63,1,1,1,0,0,83,83,83,83.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_082b9891ede2,2,2,2,0,0,723,354,369,361.5,2,0,0,0,0,0,0,0,2,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_08439f9bb950,1,1,1,0,0,11,11,11,11.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0864ba1357c3,1,1,1,0,0,219,219,219,219.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_08937bb0fadb,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_08eccae4b698,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_08ef0a19f4af,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_092d6bd8b0c6,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_09367dd73e8b,4,4,4,0,0,296,74,74,74.0,4,0,0,0,0,0,4,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_09387d1f9b83,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_094050e2750c,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_09ca0f434d77,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_09d240b0d799,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_09ea31ca8958,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0a2cc1bda92c,2,2,2,0,0,448,224,224,224.0,2,0,0,0,0,0,0,0,2,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0a33d5099e23,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0a5090eb5c4b,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0ad3bf48bf53,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0b29c5ef152f,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0b46ea1108ae,2,2,2,0,0,16,8,8,8.0,2,0,0,2,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0b4d30887393,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0b88b4c93ec8,1,1,1,0,0,56,56,56,56.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0bc5edc2c38a,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0be7d9e6c975,1,1,1,0,0,13,13,13,13.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0c1a772b814e,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0c3767419c38,1,1,1,0,0,7,7,7,7.0,1,0,0,1,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0c407566f8d3,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0c731d1afd0f,2,2,2,0,0,490,245,245,245.0,2,0,0,0,0,0,0,0,2,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0d0b3964d24d,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0d1021cad155,1,1,1,0,0,336,336,336,336.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0d485f163e75,1,1,1,0,0,21,21,21,21.0,1,0,0,0,0,1,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0d58166cffce,1,1,1,0,0,82,82,82,82.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0d75e84c8cdd,1,1,1,0,0,9,9,9,9.0,1,0,0,1,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0e02cca3a84c,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0e10bda9fc3e,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_0e3e9104d4dd,1,1,1,0,0,116,116,116,116.0,1,0,0,0,0,0,0,1,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0eb7cffdf36f,1,1,1,0,0,57,57,57,57.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0eebdfbfdb5f,5,5,5,0,0,315,63,63,63.0,5,0,0,0,0,0,5,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0f1b5d1e0e26,1,1,1,0,0,1,1,1,1.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_0f7692e6ff25,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_102f0062f0a8,1,1,1,0,0,1,1,1,1.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_102f866d9510,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_1068856da35d,2,2,2,0,0,640,320,320,320.0,2,0,0,0,0,0,0,0,2,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_107f6ad73c18,1,1,1,0,0,75,75,75,75.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_11be7b052bde,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_11f2a588f305,1,1,1,0,0,3,3,3,3.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_123c28dcb2a4,1,1,1,0,0,86,86,86,86.0,1,0,0,0,0,0,1,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_12730193310a,1,1,1,0,0,1,1,1,1.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_12f5b18a1706,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_13183e8a372a,1,1,1,0,0,3,3,3,3.0,1,0,1,0,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_134da396d8d5,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_13fc924be3e1,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_1431584e10f4,1,1,1,0,0,237,237,237,237.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_145cbe84d77d,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_147057346d5e,1,1,1,0,0,100,100,100,100.0,1,0,0,0,0,0,0,1,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_14b29dc5cab4,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_14deb49af05a,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_15021dd7a4db,1,1,1,0,0,42,42,42,42.0,1,0,0,0,0,1,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_1527ed3e5cf7,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_155729ed5825,1,1,1,0,0,6,6,6,6.0,1,0,0,1,0,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_1565a9dfb95a,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_163f3d4f3449,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_16be65383c64,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_16c77ada2c46,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_16e872d84c4d,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_17085bc9d05c,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_17ae6d886f10,1,1,1,0,0,13,13,13,13.0,1,0,0,0,1,0,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_17cb7e8426b9,3,3,3,0,0,129,43,43,43.0,3,0,0,0,0,3,0,0,0,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_17e0687d24b6,5,5,5,0,0,1469,160,331,293.8,5,0,0,0,0,0,0,1,4,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_189f3a701e2b,1,1,1,0,0,355,355,355,355.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_18fa74276cb5,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_1900ff27f557,1,1,1,0,0,350,350,350,350.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_19014f2b6721,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_19043ee1548b,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
HBG_1911acd50b6e,1,1,1,0,0,327,327,327,327.0,1,0,0,0,0,0,0,0,1,0,False,BENCHMARK_ASSIGNABLE_GROUP,GROUP_LEVEL_INDIVISIBLE_ASSIGNMENT_UNIT
HBG_199a887e157d,1,1,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,False,PURE_CONTEXT_ONLY_GROUP,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT
