node_id,node_uid,node_type,node_name,original_id,database_source,standardized_name,external_id,chembl_id,smiles,pubchem_cid,uniprot_id,gene_symbol,new_target_from_chembl,notes
H0066,herb:H0066,herb,H0066,H0066,HERB project raw files,H0066,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0067,herb:H0067,herb,H0067,H0067,HERB project raw files,H0067,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0068,herb:H0068,herb,H0068,H0068,HERB project raw files,H0068,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0069,herb:H0069,herb,H0069,H0069,HERB project raw files,H0069,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0070,herb:H0070,herb,H0070,H0070,HERB project raw files,H0070,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0071,herb:H0071,herb,H0071,H0071,HERB project raw files,H0071,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0072,herb:H0072,herb,H0072,H0072,HERB project raw files,H0072,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0073,herb:H0073,herb,H0073,H0073,HERB project raw files,H0073,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0074,herb:H0074,herb,H0074,H0074,HERB project raw files,H0074,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0075,herb:H0075,herb,H0075,H0075,HERB project raw files,H0075,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0076,herb:H0076,herb,H0076,H0076,HERB project raw files,H0076,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0077,herb:H0077,herb,H0077,H0077,HERB project raw files,H0077,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0078,herb:H0078,herb,H0078,H0078,HERB project raw files,H0078,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0079,herb:H0079,herb,H0079,H0079,HERB project raw files,H0079,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0080,herb:H0080,herb,H0080,H0080,HERB project raw files,H0080,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0081,herb:H0081,herb,H0081,H0081,HERB project raw files,H0081,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0082,herb:H0082,herb,H0082,H0082,HERB project raw files,H0082,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0083,herb:H0083,herb,H0083,H0083,HERB project raw files,H0083,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0084,herb:H0084,herb,H0084,H0084,HERB project raw files,H0084,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0085,herb:H0085,herb,H0085,H0085,HERB project raw files,H0085,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0086,herb:H0086,herb,H0086,H0086,HERB project raw files,H0086,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0087,herb:H0087,herb,H0087,H0087,HERB project raw files,H0087,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0088,herb:H0088,herb,H0088,H0088,HERB project raw files,H0088,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0089,herb:H0089,herb,H0089,H0089,HERB project raw files,H0089,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0090,herb:H0090,herb,H0090,H0090,HERB project raw files,H0090,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0091,herb:H0091,herb,H0091,H0091,HERB project raw files,H0091,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0092,herb:H0092,herb,H0092,H0092,HERB project raw files,H0092,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0093,herb:H0093,herb,H0093,H0093,HERB project raw files,H0093,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0094,herb:H0094,herb,H0094,H0094,HERB project raw files,H0094,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0095,herb:H0095,herb,H0095,H0095,HERB project raw files,H0095,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0096,herb:H0096,herb,H0096,H0096,HERB project raw files,H0096,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0097,herb:H0097,herb,H0097,H0097,HERB project raw files,H0097,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0098,herb:H0098,herb,H0098,H0098,HERB project raw files,H0098,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0099,herb:H0099,herb,H0099,H0099,HERB project raw files,H0099,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0100,herb:H0100,herb,H0100,H0100,HERB project raw files,H0100,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0101,herb:H0101,herb,H0101,H0101,HERB project raw files,H0101,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0102,herb:H0102,herb,H0102,H0102,HERB project raw files,H0102,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0103,herb:H0103,herb,H0103,H0103,HERB project raw files,H0103,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0104,herb:H0104,herb,H0104,H0104,HERB project raw files,H0104,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0105,herb:H0105,herb,H0105,H0105,HERB project raw files,H0105,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0107,herb:H0107,herb,H0107,H0107,HERB project raw files,H0107,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0108,herb:H0108,herb,H0108,H0108,HERB project raw files,H0108,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0109,herb:H0109,herb,H0109,H0109,HERB project raw files,H0109,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0110,herb:H0110,herb,H0110,H0110,HERB project raw files,H0110,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0111,herb:H0111,herb,H0111,H0111,HERB project raw files,H0111,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0112,herb:H0112,herb,H0112,H0112,HERB project raw files,H0112,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0113,herb:H0113,herb,H0113,H0113,HERB project raw files,H0113,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0114,herb:H0114,herb,H0114,H0114,HERB project raw files,H0114,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0115,herb:H0115,herb,H0115,H0115,HERB project raw files,H0115,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0116,herb:H0116,herb,H0116,H0116,HERB project raw files,H0116,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0117,herb:H0117,herb,H0117,H0117,HERB project raw files,H0117,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0118,herb:H0118,herb,H0118,H0118,HERB project raw files,H0118,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0119,herb:H0119,herb,H0119,H0119,HERB project raw files,H0119,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0120,herb:H0120,herb,H0120,H0120,HERB project raw files,H0120,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0121,herb:H0121,herb,H0121,H0121,HERB project raw files,H0121,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0122,herb:H0122,herb,H0122,H0122,HERB project raw files,H0122,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0123,herb:H0123,herb,H0123,H0123,HERB project raw files,H0123,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0124,herb:H0124,herb,H0124,H0124,HERB project raw files,H0124,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0125,herb:H0125,herb,H0125,H0125,HERB project raw files,H0125,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0126,herb:H0126,herb,H0126,H0126,HERB project raw files,H0126,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0127,herb:H0127,herb,H0127,H0127,HERB project raw files,H0127,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0128,herb:H0128,herb,H0128,H0128,HERB project raw files,H0128,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0129,herb:H0129,herb,H0129,H0129,HERB project raw files,H0129,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0130,herb:H0130,herb,H0130,H0130,HERB project raw files,H0130,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0131,herb:H0131,herb,H0131,H0131,HERB project raw files,H0131,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0132,herb:H0132,herb,H0132,H0132,HERB project raw files,H0132,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0133,herb:H0133,herb,H0133,H0133,HERB project raw files,H0133,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0134,herb:H0134,herb,H0134,H0134,HERB project raw files,H0134,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0135,herb:H0135,herb,H0135,H0135,HERB project raw files,H0135,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0136,herb:H0136,herb,H0136,H0136,HERB project raw files,H0136,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0137,herb:H0137,herb,H0137,H0137,HERB project raw files,H0137,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0139,herb:H0139,herb,H0139,H0139,HERB project raw files,H0139,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0140,herb:H0140,herb,H0140,H0140,HERB project raw files,H0140,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0141,herb:H0141,herb,H0141,H0141,HERB project raw files,H0141,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0142,herb:H0142,herb,H0142,H0142,HERB project raw files,H0142,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0143,herb:H0143,herb,H0143,H0143,HERB project raw files,H0143,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0144,herb:H0144,herb,H0144,H0144,HERB project raw files,H0144,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0145,herb:H0145,herb,H0145,H0145,HERB project raw files,H0145,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0146,herb:H0146,herb,H0146,H0146,HERB project raw files,H0146,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0147,herb:H0147,herb,H0147,H0147,HERB project raw files,H0147,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0148,herb:H0148,herb,H0148,H0148,HERB project raw files,H0148,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0149,herb:H0149,herb,H0149,H0149,HERB project raw files,H0149,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0150,herb:H0150,herb,H0150,H0150,HERB project raw files,H0150,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0151,herb:H0151,herb,H0151,H0151,HERB project raw files,H0151,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0152,herb:H0152,herb,H0152,H0152,HERB project raw files,H0152,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0153,herb:H0153,herb,H0153,H0153,HERB project raw files,H0153,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0154,herb:H0154,herb,H0154,H0154,HERB project raw files,H0154,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0155,herb:H0155,herb,H0155,H0155,HERB project raw files,H0155,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0156,herb:H0156,herb,H0156,H0156,HERB project raw files,H0156,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0157,herb:H0157,herb,H0157,H0157,HERB project raw files,H0157,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0158,herb:H0158,herb,H0158,H0158,HERB project raw files,H0158,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0159,herb:H0159,herb,H0159,H0159,HERB project raw files,H0159,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0160,herb:H0160,herb,H0160,H0160,HERB project raw files,H0160,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0161,herb:H0161,herb,H0161,H0161,HERB project raw files,H0161,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0162,herb:H0162,herb,H0162,H0162,HERB project raw files,H0162,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0163,herb:H0163,herb,H0163,H0163,HERB project raw files,H0163,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0164,herb:H0164,herb,H0164,H0164,HERB project raw files,H0164,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0165,herb:H0165,herb,H0165,H0165,HERB project raw files,H0165,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0166,herb:H0166,herb,H0166,H0166,HERB project raw files,H0166,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0167,herb:H0167,herb,H0167,H0167,HERB project raw files,H0167,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0168,herb:H0168,herb,H0168,H0168,HERB project raw files,H0168,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0169,herb:H0169,herb,H0169,H0169,HERB project raw files,H0169,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0170,herb:H0170,herb,H0170,H0170,HERB project raw files,H0170,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0171,herb:H0171,herb,H0171,H0171,HERB project raw files,H0171,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0172,herb:H0172,herb,H0172,H0172,HERB project raw files,H0172,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0173,herb:H0173,herb,H0173,H0173,HERB project raw files,H0173,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0174,herb:H0174,herb,H0174,H0174,HERB project raw files,H0174,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0175,herb:H0175,herb,H0175,H0175,HERB project raw files,H0175,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0176,herb:H0176,herb,H0176,H0176,HERB project raw files,H0176,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0177,herb:H0177,herb,H0177,H0177,HERB project raw files,H0177,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0178,herb:H0178,herb,H0178,H0178,HERB project raw files,H0178,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0179,herb:H0179,herb,H0179,H0179,HERB project raw files,H0179,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0180,herb:H0180,herb,H0180,H0180,HERB project raw files,H0180,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0181,herb:H0181,herb,H0181,H0181,HERB project raw files,H0181,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0182,herb:H0182,herb,H0182,H0182,HERB project raw files,H0182,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0183,herb:H0183,herb,H0183,H0183,HERB project raw files,H0183,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0184,herb:H0184,herb,H0184,H0184,HERB project raw files,H0184,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0185,herb:H0185,herb,H0185,H0185,HERB project raw files,H0185,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0186,herb:H0186,herb,H0186,H0186,HERB project raw files,H0186,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0187,herb:H0187,herb,H0187,H0187,HERB project raw files,H0187,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0188,herb:H0188,herb,H0188,H0188,HERB project raw files,H0188,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0189,herb:H0189,herb,H0189,H0189,HERB project raw files,H0189,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0190,herb:H0190,herb,H0190,H0190,HERB project raw files,H0190,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0192,herb:H0192,herb,H0192,H0192,HERB project raw files,H0192,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
H0193,herb:H0193,herb,H0193,H0193,HERB project raw files,H0193,,,,,,,False,Canonical HERB herb ID; source metadata rebuilt after semantic quarantine.
